2016-10-17 20:35:46,148 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Coding Assesment:Coding Assesment:0.0.1-SNAPSHOT @ C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\pom.xml.
2016-10-17 20:35:47,858 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:47,863 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\main\resources
2016-10-17 20:35:47,866 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:48,138 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\test\resources
2016-10-17 20:35:48,176 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Coding Assesment/src
2016-10-17 20:35:48,177 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Coding Assesment/src/test/java because it overlaps with /Coding Assesment/src
2016-10-17 20:35:48,438 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-10-17 20:35:49,540 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Coding Assesment:Coding Assesment:0.0.1-SNAPSHOT @ C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\pom.xml.
2016-10-17 20:35:50,316 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:50,317 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\main\resources
2016-10-17 20:35:50,320 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:50,321 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\test\resources
2016-10-17 20:35:50,945 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Coding Assesment/src
2016-10-17 20:35:50,947 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Coding Assesment/src/test/java because it overlaps with /Coding Assesment/src
2016-10-17 20:35:51,021 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-10-17 20:35:51,948 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:51,949 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\main\resources
2016-10-17 20:35:51,951 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:35:51,952 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\test\resources
2016-10-17 20:36:44,562 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CodingAssesment:CodingAssesment:0.0.1-SNAPSHOT @ C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\pom.xml.
2016-10-17 20:36:45,114 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-17 20:36:45,116 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\prathyush\Desktop\Coding Assesment\Coding Assesment\src\main\resources
